,,,,,,,
"The Nordic List",,,,,,,
"Companies 2008-07-18",,,,,,,
" ",,,,,,,
,Currency,Exchange,,,"Short Name",ISIN,
,,,,,,,
"Skandinaviska Enskilda Banken ser. C",SEK,STO,LARGE,Financials,"SEB C",SE0000120784,
"Straumur-Burðarás Fjárfestingabanki hf.",ISK,ISE,LARGE,Financials,STRB,IS0000000644,
"Swedbank AB ser A",SEK,STO,LARGE,Financials,"SWED A",SE0000242455,
"Svenska Handelsbanken ser. A",SEK,STO,LARGE,Financials,"SHB A",SE0000193120,
"Svenska Handelsbanken ser. B",SEK,STO,LARGE,Financials,"SHB B",SE0000152084,
Sydbank,DKK,CSE,LARGE,Financials,SYDB,DK0010311471,
Topdanmark,DKK,CSE,LARGE,Financials,TOP,DK0010259530,
"TrygVesta A/S",DKK,CSE,LARGE,Financials,TRYG,DK0060013274,
"AstraZeneca PLC",SEK,STO,LARGE,"Health Care",AZN,GB0009895292,
"Coloplast B",DKK,CSE,LARGE,"Health Care","COLO B",DK0010309657,
"Elekta AB ser. B",SEK,STO,LARGE,"Health Care","EKTA B",SE0000163628,
Genmab,DKK,CSE,LARGE,"Health Care",GEN,DK0010272202,
"Getinge AB ser. B",SEK,STO,LARGE,"Health Care","GETI B",SE0000202624,
"Lundbeck A/S",DKK,CSE,LARGE,"Health Care",LUN,DK0010287234,
"Meda AB ser. A",SEK,STO,LARGE,"Health Care","MEDA A",SE0000221723,
"Novo Nordisk B",DKK,CSE,LARGE,"Health Care","NOVO B",DK0060102614,
"Orion Oyj A",EUR,HEL,LARGE,"Health Care",ORNAV,FI0009014369,
"Orion Oyj B",EUR,HEL,LARGE,"Health Care",ORNBV,FI0009014377,
"William Demant Holding",DKK,CSE,LARGE,"Health Care",WDH,DK0010268440,
"A.P. Møller - Mærsk A",DKK,CSE,LARGE,Industrials,"MAERSK A",DK0010244425,
"A.P. Møller - Mærsk B",DKK,CSE,LARGE,Industrials,"MAERSK B",DK0010244508,
"ABB Ltd",SEK,STO,LARGE,Industrials,ABB,CH0012221716,
"Alfa Laval AB",SEK,STO,LARGE,Industrials,ALFA,SE0000695876,
"ASSA ABLOY AB ser. B",SEK,STO,LARGE,Industrials,"ASSA B",SE0000255648,
"Atlas Copco AB ser. A",SEK,STO,LARGE,Industrials,"ATCO A",SE0000101032,
"Atlas Copco AB ser. B",SEK,STO,LARGE,Industrials,"ATCO B",SE0000122467,
"Cargotec Oyj",EUR,HEL,LARGE,Industrials,CGCBV,FI0009013429,
"D/S Norden",DKK,CSE,LARGE,Industrials,DNORD,DK0060083210,
DSV,DKK,CSE,LARGE,Industrials,DSV,DK0060079531,
"FLSmidth & Co.",DKK,CSE,LARGE,Industrials,FLS,DK0010234467,
"G4S plc",DKK,CSE,LARGE,Industrials,G4S,GB00B01FLG62,
"Hexagon AB ser. B",SEK,STO,LARGE,Industrials,"HEXA B",SE0000103699,
"KONE Oyj",EUR,HEL,LARGE,Industrials,KNEBV,FI0009013403,
"Konecranes Oyj",EUR,HEL,LARGE,Industrials,KCR1V,FI0009005870,
"Københavns Lufthavne",DKK,CSE,LARGE,Industrials,KBHL,DK0010201102,
"Lindab International AB",SEK,STO,LARGE,Industrials,LIAB,SE0001852419,
"Metso Oyj",EUR,HEL,LARGE,Industrials,MEO1V,FI0009007835,
"NCC AB ser. A",SEK,STO,LARGE,Industrials,"NCC A",SE0000118952,
"NCC AB ser. B",SEK,STO,LARGE,Industrials,"NCC B",SE0000117970,
"NKT Holding",DKK,CSE,LARGE,Industrials,NKT,DK0010287663,
"Outotec Oyj",EUR,HEL,LARGE,Industrials,OTE1V,FI0009014575,
"Pöyry Oyj",EUR,HEL,LARGE,Industrials,POY1V,FI0009006696,
"Rockwool International A",DKK,CSE,LARGE,Industrials,"ROCK A",DK0010219070,
"Rockwool International B",DKK,CSE,LARGE,Industrials,"ROCK B",DK0010219153,
"SAAB AB ser. B",SEK,STO,LARGE,Industrials,"SAAB B",SE0000112385,
"Sandvik AB",SEK,STO,LARGE,Industrials,SAND,SE0000667891,
"SCANIA AB ser. A",SEK,STO,LARGE,Industrials,"SCV A",SE0000308272,
"SCANIA AB ser. B",SEK,STO,LARGE,Industrials,"SCV B",SE0000308280,
"Seco Tools AB ser. B",SEK,STO,LARGE,Industrials,"SECO B",SE0000118838,
"Securitas AB ser. B",SEK,STO,LARGE,Industrials,"SECU B",SE0000163594,
"Skanska AB ser. B",SEK,STO,LARGE,Industrials,"SKA B",SE0000113250,
"SKF, AB ser. A",SEK,STO,LARGE,Industrials,"SKF A",SE0000108201,
"SKF, AB ser. B",SEK,STO,LARGE,Industrials,"SKF B",SE0000108227,
"Trelleborg AB ser. B",SEK,STO,LARGE,Industrials,"TREL B",SE0000114837,
"Uponor Oyj",EUR,HEL,LARGE,Industrials,UNR1V,FI0009002158,
"Vestas Wind Systems",DKK,CSE,LARGE,Industrials,VWS,DK0010268606,
"Volvo, AB ser. A",SEK,STO,LARGE,Industrials,"VOLV A",SE0000115420,
"Volvo, AB ser. B",SEK,STO,LARGE,Industrials,"VOLV B",SE0000115446,
"Wärtsilä Oyj Abp",EUR,HEL,LARGE,Industrials,WRT1V,FI0009003727,
"YIT Oyj",EUR,HEL,LARGE,Industrials,YTY1V,FI0009800643,
"Ericsson, Telefonab. L M ser. A",SEK,STO,LARGE,"Information Technology","ERIC A",SE0000108649,
"Ericsson, Telefonab. L M ser. B",SEK,STO,LARGE,"Information Technology","ERIC B",SE0000108656,
"Nokia Oyj",EUR,HEL,LARGE,"Information Technology",NOK1V,FI0009000681,
"Nokia Oyj New Shares",EUR,HEL,LARGE,"Information Technology",NOK1VM0108,FI0009015747,
"TietoEnator Oyj",EUR,HEL,LARGE,"Information Technology",TIE1V,FI0009000277,
"TietoEnator Oyj",SEK,STO,LARGE,"Information Technology",TIEN,FI0009000277,
"Boliden AB",SEK,STO,LARGE,Materials,BOL,SE0000869646,
"Holmen AB ser. A",SEK,STO,LARGE,Materials,"HOLM A",SE0000171506,
"Holmen AB ser. B",SEK,STO,LARGE,Materials,"HOLM B",SE0000109290,
"Kemira Oyj",EUR,HEL,LARGE,Materials,KRA1V,FI0009004824,
"Lundin Mining Corporation SDB",SEK,STO,LARGE,Materials,"LUMI SDB",SE0001134529,
"Novozymes B",DKK,CSE,LARGE,Materials,"NZYM B",DK0010272129,
"Outokumpu Oyj",EUR,HEL,LARGE,Materials,OUT1V,FI0009002422,
"Rautaruukki Oyj K",EUR,HEL,LARGE,Materials,RTRKS,FI0009003552,
"SSAB Svenskt Stål AB ser. A",SEK,STO,LARGE,Materials,"SSAB A",SE0000171100,
"SSAB Svenskt Stål AB ser. B",SEK,STO,LARGE,Materials,"SSAB B",SE0000120669,
"Stora Enso Oyj A",EUR,HEL,LARGE,Materials,STEAV,FI0009005953,
"Stora Enso Oyj R",EUR,HEL,LARGE,Materials,STERV,FI0009005961,
"Stora Enso Oyj ser. A",SEK,STO,LARGE,Materials,"STE A",FI0009007603,
"Stora Enso Oyj ser. R",SEK,STO,LARGE,Materials,"STE R",FI0009007611,
"Svenska Cellulosa AB SCA ser. A",SEK,STO,LARGE,Materials,"SCA A",SE0000171886,
"Svenska Cellulosa AB SCA ser. B",SEK,STO,LARGE,Materials,"SCA B",SE0000112724,
"UPM-Kymmene Oyj",EUR,HEL,LARGE,Materials,UPM1V,FI0009005987,
"Elisa Oyj",EUR,HEL,LARGE,"Telecommunication Services",ELI1V,FI0009007884,
"Millicom International Cellular S.A. SDB",SEK,STO,LARGE,"Telecommunication Services","MIC SDB",SE0001174970,
"TDC A/S",DKK,CSE,LARGE,"Telecommunication Services",TDC,DK0010253335,
"Tele2 AB ser. A",SEK,STO,LARGE,"Telecommunication Services","TEL2 A",SE0000314304,
"Tele2 AB ser. B",SEK,STO,LARGE,"Telecommunication Services","TEL2 B",SE0000314312,
"TeliaSonera AB",EUR,HEL,LARGE,"Telecommunication Services",TLS1V,SE0000667925,
"TeliaSonera AB",SEK,STO,LARGE,"Telecommunication Services",TLSN,SE0000667925,
"Fortum Oyj",EUR,HEL,LARGE,Utilities,FUM1V,FI0009007132,
"Alma Media Oyj",EUR,HEL,MID,"Consumer Discretionary",ALN1V,FI0009013114,
"Amer Sports Corporation",EUR,HEL,MID,"Consumer Discretionary",AMEAS,FI0009000285,
"Ballingslöv International AB",SEK,STO,MID,"Consumer Discretionary",BALL,SE0000524191,
"Bang & Olufsen  B",DKK,CSE,MID,"Consumer Discretionary","BO B",DK0010218429,
"Betsson AB ser. B",SEK,STO,MID,"Consumer Discretionary","BETS B",SE0000102378,
"Björn Borg AB",SEK,STO,MID,"Consumer Discretionary",BORG,SE0001289190,
"Clas Ohlson AB ser. B",SEK,STO,MID,"Consumer Discretionary","CLAS B",SE0000584948,
"Duni AB",SEK,STO,MID,"Consumer Discretionary",DUNI,SE0000616716,
"Eniro AB",SEK,STO,MID,"Consumer Discretionary",ENRO,SE0000718017,
"Hemtex AB",SEK,STO,MID,"Consumer Discretionary",HEMX,SE0000698268,
"Home Properties AB",SEK,STO,MID,"Consumer Discretionary",HOPR,SE0000525057,
"IC Companys",DKK,CSE,MID,"Consumer Discretionary",IC,DK0010221803,
"Ilkka-Yhtymä Oyj 2",EUR,HEL,MID,"Consumer Discretionary",ILK2S,FI0009800205,
"KappAhl Holding AB",SEK,STO,MID,"Consumer Discretionary",KAHL,SE0001630880,
"Mekonomen AB",SEK,STO,MID,"Consumer Discretionary",MEKO,SE0002110064,
"Metro International S.A SDB ser. A",SEK,STO,MID,"Consumer Discretionary","MTRO SDB A",SE0000696841,
"Metro International S.A SDB ser. B",SEK,STO,MID,"Consumer Discretionary","MTRO SDB B",SE0000696858,
"New Wave Group AB ser. B",SEK,STO,MID,"Consumer Discretionary","NEWA B",SE0000426546,
"Nobia AB",SEK,STO,MID,"Consumer Discretionary",NOBI,SE0000949331,
"PARKEN Sport & Entertainment",DKK,CSE,MID,"Consumer Discretionary",PARKEN,DK0010237643,
"Pohjois-Karjalan Kirjapaino Oyj",EUR,HEL,MID,"Consumer Discretionary",PKK1V,FI0009900468,
"Rapala VMC Oyj",EUR,HEL,MID,"Consumer Discretionary",RAP1V,FI0009007355,
"Rella Holding A/S",DKK,CSE,MID,"Consumer Discretionary",RELLA,DK0016033889,
"Rezidor Hotel Group AB",SEK,STO,MID,"Consumer Discretionary",REZT,SE0001857533,
"RNB RETAIL AND BRANDS AB",SEK,STO,MID,"Consumer Discretionary",RNBS,SE0000401622,
"SkiStar AB ser. B",SEK,STO,MID,"Consumer Discretionary","SKIS B",SE0000241614,
"Tivoli A/S",DKK,CSE,MID,"Consumer Discretionary",TIV,DK0010040500,
